City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
275,bemidji,-94.8803,47.4736,268.09,84,100,4.12,US,1707636298,-5.060000000000002
276,coahuayana de hidalgo,-103.6583,18.7,293.22,92,88,1.07,MX,1707636299,20.07000000000005
277,dawesville,-84.0091,30.9224,289.35,95,75,0.45,US,1707636299,16.200000000000045
278,laborde,-62.8566,-33.1532,291.94,92,0,1.31,AR,1707636299,18.79000000000002
279,bonthe,-12.505,7.5264,298.49,92,53,1.88,SL,1707636299,25.340000000000032
280,sisimiut,-53.6735,66.9395,254.03,95,99,0.48,GL,1707636300,-19.119999999999976
281,thanh hoa,105.7667,19.8,295.94,39,95,3.19,VN,1707636300,22.79000000000002
282,mount isa,139.5,-20.7333,309.02,32,98,4.12,AU,1707636300,35.870000000000005
283,sabha,14.4283,27.0377,289.96,15,100,4.14,LY,1707636301,16.810000000000002
284,montes claros,-43.8617,-16.735,292.65,99,100,1.23,BR,1707636091,19.5
285,mamuju,118.8885,-2.6748,298.71,89,100,1.45,ID,1707636302,25.560000000000002
286,mokhotlong,29.0675,-29.2894,289.26,35,0,1.67,LS,1707636302,16.110000000000014
287,beau vallon,57.6953,-20.4189,303.28,74,75,4.12,MU,1707636302,30.129999999999995
288,shahrud,54.9763,36.4182,283.71,30,100,1.65,IR,1707636303,10.560000000000002
289,tandil,-59.1332,-37.3217,291.31,94,0,3.14,AR,1707636017,18.160000000000025
290,sitka,-135.33,57.0531,277.09,81,75,2.06,US,1707636111,3.9399999999999977
291,vail,-110.712,32.0479,276.84,92,59,3.16,US,1707636304,3.6899999999999977
292,fortuna,-124.1573,40.5982,282.55,93,100,0.0,US,1707636305,9.400000000000034
293,murzuq,13.9184,25.9155,289.92,14,100,3.22,LY,1707636305,16.77000000000004
294,kayes,-11.0,14.0,296.75,10,0,1.39,ML,1707636307,23.600000000000023
295,afaahiti,-149.2833,-17.75,300.08,89,100,12.37,PF,1707636307,26.930000000000007
296,marsa alam,34.8918,25.0757,293.62,56,0,6.56,EG,1707636307,20.470000000000027
297,talcahuano,-73.1167,-36.7167,287.97,88,100,4.12,CL,1707636308,14.82000000000005
298,nizhniy kuranakh,125.4869,58.8353,258.71,92,100,1.58,RU,1707636308,-14.439999999999998
299,queenstown,26.8753,-31.8976,290.89,53,67,1.35,ZA,1707636309,17.74000000000001
